original_name,french_name,RICname
turkey (european),Turquie d'Europe,European Turkey
"turkey (european, asiatic and african)",Turquie d'Europe et Turquie d'Asie et Turquie d'Afrique,European Turkey & Asian Turkey & African Turkey
turkey (including egypt),Turquie,Turkey
turkey (including muscat),Turquie,Turkey
turkey in africa,Turquie d'Afrique,African Turkey
turkey in africa (total),Turquie d'Afrique,African Turkey
turkey in asia,Turquie d'Asie,Asian Turkey
"turkey in asia, persia, afghanistan",Turquie d'Asie et Perse et Afghanistan,Afghanistan & Iran (Persia) & Asian Turkey
"turkey in asia, persia, arabia, etc",Turquie d'Asie et Arabie et Perse,Iran (Persia) & Middle-East & Asian Turkey
"turkey in asia, persia, arabia, etc.",Turquie d'Asie et Arabie et Perse,Iran (Persia) & Middle-East & Asian Turkey
"turkey in asia, persia, egypt, algeria, ade, etc.",Turquie d'Asie et Egypte et Perse et Algérie et Aden,Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Asian Turkey
"turkey in asia, persia, egypt, algeria, aden & etc",Turquie d'Asie et Egypte et Perse et Algérie et Aden,Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Asian Turkey
"turkey in asia, persia, egypt, algeria, aden, etc.",Turquie d'Asie et Egypte et Perse et Algérie et Aden,Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Asian Turkey
"turkey in asia, persia, egypt, algeria, aden,&c.",Turquie d'Asie et Egypte et Perse et Algérie et Aden,Aden & Algeria & Egypt/United Arab Republic & Iran (Persia) & Asian Turkey
turkey in europe,Turquie d'Europe,European Turkey
turkey in europe (including bulgaria and candia),Turquie d'Europe et Bulgarie et Candie,Bulgaria & Crete & European Turkey
turkey in europe (including bulgaria),Turquie d'Europe et Bulgarie,Bulgaria & European Turkey
turkey in europe (including danubian states),Turquie d'Europe et Etats danubiens,Moldavia & European Turkey & Wallachia
turkey in europe (including roumania),Turquie d'Europe et Roumanie,European Turkey & Romania
"turkey in europe (including roumania, servia and montenegro)",Turquie d'Europe et Roumanie et Serbie et Montenegro,European Turkey & Montenegro & Romania & Yugoslavia/Serbia
turkey in europe and asia,Turquie d'Europe et Turquie d'Asie,European Turkey & Asian Turkey
turkey in europe including bulgaria and candia,Turquie d'Europe et Bulgarie et Candie,Bulgaria & Crete & European Turkey
"turkey in europe, asia and africa",Turquie d'Europe et Turquie d'Asie et Turquie d'Afrique,European Turkey & Asian Turkey & African Turkey
"turkey, asiatic",Turquie d'Asie,Asian Turkey
"turkey, asiatic (including cyprus)",Turquie d'Asie et Chypre,Cyprus & Asian Turkey
"turkey, crete",Crète,Crete
"turkey, crete*",Crète,Crete
"turkey, cyprus",Chypre,Cyprus
"turkey, egypt",Egypte,Egypt/United Arab Republic
"turkey, european",Turquie d'Europe,European Turkey
"turkey, greece, egypt",Turquie et Grèce et Egypte,Turkey & Egypt/United Arab Republic & Greece
"turkey, levant, etc.",Turquie et Moyen-Orient,Turkey & Middle-East
"turkey, roumania and greece",Turquie et Roumanie et Grèce,Greece & Turkey & Romania
turkey: asiatic,Turquie d'Asie,Asian Turkey
turkey: european,Turquie d'Europe,European Turkey
"turkish dominions (exlcusive of wallachia, moldavia, syria, palestine, and egypt)",Turquie (Autre que Valachie et Moldavie et Syrie et Palestine et Egypte),Turkey (other)
turkish dominions : asiatic turkey,Turquie d'Asie,Asian Turkey
turkish dominions : cyprus,Chypre,Cyprus
turkish dominions : egypt,Egypte,Egypt/United Arab Republic
"turkish dominions : egypt (including the transit from india, &c.)",Egypte et Transit d'Inde,Egypt/United Arab Republic & Indian Transit
turkish dominions : european turkey,Turquie d'Europe,European Turkey
"turkish dominions : european turkey (included montenegro, bulgaria, servia)",Turquie d'Europe et Bulgarie et Serbie et Montenegro,Bulgaria & Montenegro & European Turkey & Yugoslavia/Serbia
"turkish dominions : european turkey (included montenegro, bulgaria, servia, roumania)",Turquie d'Europe et Bulgarie et Serbie et Montenegro et Roumanie,Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia
turkish dominions : wallachia and moldavia,Moldavie et Valachie,Moldavia & Wallachia
turks and caicos islands,Iles Turques-et-Caïques,Turks and Caicos Is.
turk's island (west india islands),Iles Turques-et-Caïques,Turks and Caicos Is.
turk's islands,Iles Turques-et-Caïques,Turks and Caicos Is.
turquia,Turquie,Turkey
turquia asiatica,Turquie d'Asie,Asian Turkey
turquie,Turquie,Turkey
turquie (albanie),Albanie,Albania
turquie (alep),Turquie (Alep),Aleppo
turquie (autres ports),Turquie (Autre),Turkey (other)
turquie (avec egypte et dépendances),Turquie et Egypte,Turkey & Egypt/United Arab Republic
turquie (bagdad),Empire Ottoman (Bagdad),Baghdad
turquie (barbarie),Turquie (Barbarie),Libya (Tripolitania Cyrenaica Fezzan)
turquie (bassorah),Turquie (Bassorah),Basra
turquie (beyrout),Turquie (Beyrout),Beirut
turquie (candie),Turquie (Candie),Crete
turquie (chypre),Chypre,Cyprus
turquie (constantinople et autres ports),Turquie (Constantinople et Autres ports),Dardanelles-Istanbul & Turkish Ports
turquie (constantinople et smyrne),Turquie (Constantinople et Smyrne),Dardanelles-Istanbul & Izmir (Smyrna)
turquie (constantinople),Turquie (Constantinople),Dardanelles-Istanbul
turquie (egypte),Egypte,Egypt/United Arab Republic
turquie (ile de chypre),Turquie (Chypre),Cyprus
turquie (larnaca),Turquie (Larnaca),Larnaca
turquie (levant),Turquie (Levant),Levant
turquie (macédoine),Macédoine,Macedonia
turquie (mohammera),Turquie (Mohammera),Khorramshahr (Mohammerah)
turquie (mossoul),Turquie (Mossoul),Mosul
turquie (port de smyrne),Turquie (Smyrne),Izmir (Smyrna)
turquie (salonique),Turquie (Salonique),Thessaloniki
turquie (sauf candie),Turquie (sauf Candie),Turkey (other)
turquie (smyrne et archipel),Turquie (Archipel et Smyrne),Dodecanese Is. (Aegean Is.) & Izmir (Smyrna)
turquie (smyrne),Turquie (Smyrne),Izmir (Smyrna)
turquie (syrie),Syrie,Syria
turquie (tarsous),Turquie (Tarsous),Tarsus
turquie (trébizonde),Turquie (Trébizonde),Trabzon
turquie (trézibonde),Turquie (Trébizonde),Trabzon
turquie asiatique,Turquie d'Asie,Asian Turkey
turquie continentale,Turquie,Turkey
turquie d'aise,Turquie d'Asie,Asian Turkey
turquie d'asie,Turquie d'Asie,Asian Turkey
turquie d'asie**,Turquie d'Asie,Asian Turkey
turquie d'europe,Turquie d'Europe,European Turkey
turquie en asie,Turquie d'Asie,Asian Turkey
turquie et asie mineure,Turquie et Asie mineure,Turkey & Western Anatolia
turquie et barbarie,Turquie et Etats Barbaresques,Turkey & Barbary Coast
turquie et etats barbaresques,Turquie et Etats Barbaresques,Turkey & Barbary Coast
turquie et grèce,Turquie et Grèce,Greece & Turkey
turquie et levant,Turquie et Levant,Levant & Turkey
turquie et son archipel,Turquie et Iles de l'Archipel,Turkey & Dodecanese Is. (Aegean Is.)
turquie et son archipel et roumanie,Turquie et Iles de l'Archipel et Roumanie,Turkey & Dodecanese Is. (Aegean Is.) & Romania
turquie et syrie,Turquie et Syrie,Turkey & Syria
turquie**,Turquie,Turkey
"turquie, egypte",Turquie et Egypte,Turkey & Egypt/United Arab Republic
tuscany,Toscane,Tuscany
tuticorin,Tuticorin,Thoothukudi (Tuticorin)
two sicilies,Deux-Siciles,Two Sicilies
u.r.s.s.,URSS,Russia/USSR
uganda,Ouganda,Uganda
uganda protectorate,Ouganda,Uganda
uk,Royaume-Uni,United Kingdom
uncertain places,Lieux non identifiés,Unknown
union afrique sud,Union Sud-Africaine,South Africa
union belgo-luxembourgeoise,Belgique et Luxembourg,Belgium & Luxemburg
union douanière allemande,Zollverein,Germany (Zollverein)
union douanière allemande (zollverein),Zollverein,Germany (Zollverein)
union douanière sud-africaine,Union Sud-Africaine,South Africa
union group,Union Group,Tokelau Is.
union of south africa,Union Sud-Africaine,South Africa
union of south africa : cape of good hope,Colonie du Cap,Cape Colony
union of south africa : cape of good hope§,Colonie du Cap,Cape Colony
union of south africa : natal,Natal,Natal
union of south africa : orange free state,Etat libre d'Orange,Orange Free State (Orange River Colony)
union of south africa : transvaal,Transvaal,Transvaal
union of south africa + bechuanaland,Afrique du Sud et Bechuanaland (Botswana),South Africa & Botswana (Bechuanaland)
union of south africa + southern rhodesia,Union Sud-Africaine et Rhodésie du Sud,South Africa & Zimbabwe (Rhodesia) (Southern Rhodesia)
union of south africa: not south african produce,Union Sud-Africaine (produits étrangers),South Africa (Foreign produce)
union of south africa: south african produce,Union Sud-Africaine (produits domestiques),South Africa (Domestic produce)
union sud africaine,Union Sud-Africaine,South Africa
union sud-africaine,Union Sud-Africaine,South Africa
union sud-africaine (+sud ouest afrique),Union Sud-Africaine et Afrique sud-occidentale,South Africa & South West Africa
united kingdom,Royaume-Uni,United Kingdom
united kingdom (including british possessions in the mediterranean),Royaume-Uni et Méditerranée britannique,United Kingdom & British Mediterranean
united kingdom (total),Royaume-Uni et Irlande,Ireland & United Kingdom
united kingdom and gibraltar,Royaume-Uni et Gibraltar,Gibraltar & United Kingdom
"united kingdom, british possessions",Royaume-Uni et Colonies britanniques,United Kingdom & British Colonies
"united kingdom, british west indies",Royaume-Uni et Antilles britanniques,British Antilles & United Kingdom
united kngdom and ireland,Royaume-Uni et Irlande,Ireland & United Kingdom
united sates,Etats-Unis,United States of America
united sates of america,Etats-Unis,United States of America
united states,Etats-Unis,United States of America
"united states (""etats de l'amérique"")",Etats-Unis,United States of America
united states (domestic merchandise),Etats-Unis (produits domestiques),United States of America (Domestic produce)
united states (domestic& foreign merchandise),Etats-Unis,United States of America
united states (foreign merchandise),Etats-Unis (produits étrangers),United States of America (Foreign produce)
united states (including california),Etats-Unis,United States of America
united states (porto rican merchandise & united states produce returned),Etats-Unis (Autre),United States of America (other)
united states (porto rican merchandise),Etats-Unis (Autre),United States of America (other)
united states (united states produce returned),Etats-Unis,United States of America
united states : california,Californie,California (Great Bear Republic)
united states : ports on the atlantic,Etats-Unis (Côte atlantique),United States of America (Atlantic Coast)
united states and british north america,Etats-Unis et Amérique du Nord britannique,British North America & United States of America
united states and canada,Etats-Unis et Canada,Canada & United States of America
united states and posessions,Etats-Unis et Colonies américaines,American Colonies & United States of America
united states and possessions,Etats-Unis et Colonies américaines,American Colonies & United States of America
united states and south america,Etats-Unis et Amérique du Sud,Southern America & United States of America
united states california,Californie,California (Great Bear Republic)
united states merchandise,Etats-Unis,United States of America
"united states merchandise, foreign merchandise from the united states",Etats-Unis (produits étrangers),United States of America (Foreign produce)
"united states merchandise, foreign merchandise from the usa",Etats-Unis (produits étrangers),United States of America (Foreign produce)
united states of america,Etats-Unis,United States of America
united states of america (including california)†,Etats-Unis,United States of America
united states of america (on the atlantic),Etats-Unis (Côte atlantique),United States of America (Atlantic Coast)
united states of america (on the pacific)),Etats-Unis (Côte pacifique),United States of America (Pacific Coast)
united states of america (total),Etats-Unis,United States of America
united states of america : cuba‡,Cuba,Cuba
united states of america : on the atlantic,Etats-Unis (Côte atlantique),United States of America (Atlantic Coast)
united states of america : on the pacific,Etats-Unis (Côte pacifique),United States of America (Pacific Coast)
united states of america : porto rico‡,Porto Rico,Puerto Rico
united states of america and california,Etats-Unis,United States of America
united states of colombia,Etats-Unis de Colombie,Colombia (Gran Colombia)
united states of colombia (new granada and panama),Etats-Unis de Colombie,Colombia (Gran Colombia)
united states of colombia (new granada),Etats-Unis de Colombie,Colombia (Gran Colombia)
united states produce returned to usa,Etats-Unis,United States of America
"united states, canada, central america and central america",Etats-Unis et Canada et Amérique centrale,Canada & Central America & United States of America
"united states, canada, south america, &c.",Etats-Unis et Canada et Amérique du Sud,Canada & Southern America & United States of America
unknown,***NA,***NA
urss,URSS,Russia/USSR
urss (=russie+ ukraine+géorgie),URSS,Russia/USSR
urss (ports européens),Russie (Ports européens),Russia (European Ports)
urss (ports européens)),Russie (Ports européens),Russia (European Ports)
urss d'asie,URSS d'Asie,Asian Russia
urss d'europe,URSS d'Europe,European Russia
urss ports du pacifique,Russie (Ports du Pacifique),Russia (Pacific Ports)
urugauy et la plata,Etats du Rio de La Plata et Uruguay,Viceroyalty of La Plata & Uruguay
uruguai,Uruguay,Uruguay
uruguay,Uruguay,Uruguay
uruguay (monte video),Uruguay (Montevideo),Montevideo
"uruguay (monte video), buenos ayres",Uruguay (Montevideo) et Buenos Aires,Buenos Aires & Montevideo
uruguay (montevideo),Uruguay (Montevideo),Montevideo
uruguay et ile falkland,Uruguay et Iles Falkland,Falkland Is. & Uruguay
uruguay et rio de la plata,Etats du Rio de La Plata et Uruguay,Viceroyalty of La Plata & Uruguay
uruguay o montevideo,Uruguay et Montevideo,Uruguay
uruguay*,Uruguay,Uruguay
uruguay**,Uruguay,Uruguay
"uruguay, argentine",Argentine et Uruguay,Argentina & Uruguay
"uruguay, or cisplatine republic",Uruguay,Uruguay
us,Etats-Unis,United States of America
us foreign possession in china (total),Chine américaine,American China
usa,Etats-Unis,United States of America
valachie,Valachie,Wallachia
valachie (port d'ibraila),Valachie (Ibraila),Wallachia
valparaiso,Chili (Valparaiso),Valparaíso
valparaiso (chili),Chili (Valparaiso),Valparaíso
van diemen's  land,Tasmanie,Tasmania
vancouver,Vancouver,Vancouver
vancouver's island (north america),Ile de Vancouver,Vancouver
venezuela,Venezuela,Venezuela
vénézuela,Venezuela,Venezuela
vénézuéla,Venezuela,Venezuela
venezuela et nouvelle-grenade,Nouvelle-Grenade et Venezuela,Colombia (Gran Colombia) & Venezuela
vénézuéla**,Venezuela,Venezuela
"venezuela, n. granada and equador",Nouvelle-Grenade et Venezuela et Equateur,Colombia (Gran Colombia) & Ecuador & Venezuela
venise,Venise,Republic of St. Mark
victoria,Victoria,Victoria
victoria (australia),Victoria,Victoria
victoria (colonie de),Victoria,Victoria
vierges e.-u,Iles vierges,Virgin Islands (Danish West Indies)
vietnam,Vietnam,Vietnam
ville du cap,Colonie du Cap (Ville du Cap ou Table-Bay),Cape Town
villes anséatiques,Villes hanséatiques,Bremen & Hamburg & Lubeck
villes anséatiques - hambourg,Villes hanséatiques (Hambourg),Hamburg
"villes anséatiques (brême, hambourg)",Villes hanséatiques (Brême et Hambourg),Bremen & Hamburg
villes anséatiques (hambourg),Villes hanséatiques (Hambourg),Hamburg
villes anséatiques (hambourg)**,Villes hanséatiques (Hambourg),Hamburg
villes anséatiques et hanovre,Villes hanséatiques et Hanovre,Bremen & Hamburg & Hanover & Lubeck
villes anséatiques et ports allemands,Villes hanséatiques et Allemagne (Ports),Bremen & German Ports & Hamburg & Lubeck
villes anséatiques et prusse,Villes hanséatiques et Prusse,Bremen & Hamburg & Lubeck & Prussia
villes anséatiques**,Villes hanséatiques,Bremen & Hamburg & Lubeck
villes anséatiques-hambourg,Villes hanséatiques (Hambourg),Hamburg
villes hanse,Villes hanséatiques,Bremen & Hamburg & Lubeck
villes hanséatiques,Villes hanséatiques,Bremen & Hamburg & Lubeck
villes-anséatiques,Villes hanséatiques,Bremen & Hamburg & Lubeck
virgin islands,Iles vierges,Virgin Islands (Danish West Indies)
virgin islands (leeward islands - west india islands),Iles vierges,Virgin Islands (Danish West Indies)
wallachia and moldavia,Moldavie et Valachie,Moldavia & Wallachia
wallachia and moldavia (turkey),Moldavie et Valachie,Moldavia & Wallachia
wallis island,Iles Wallis,Wallis and Futuna Is.
wallis island (france),Iles Wallis,Wallis and Futuna Is.
walwich bay,Walwich Bay,Walvis Bay
weihaiwai,Weihaiwei,Weihaiwei
wei-hai-wei,Weihaiwei,Weihaiwei
weser et environs brême,Brême,Bremen
west africa,Afrique occidentale,West Africa
west africa (not particularly designated),Afrique occidentale,West Africa
west africa : gambia,Gambie,Gambia
west africa : gold coast,Côte de l'Or,Ghana (Gold Coast)
west africa : lagos,Lagos,Lagos
west africa : lagos*,Lagos,Lagos
west africa : lagos†,Lagos,Lagos
west africa : niger protectorate,Protectorat du Niger,Niger
west africa : nigerian protectorates*,Protectorat du Niger,Niger
west africa : nigerian protectorates†,Protectorat du Niger,Niger
west africa : protecotate of northern nigeria*,Nigéria du Nord,Northern Nigeria
west africa : protecotate of northern nigeria†,Nigéria du Nord,Northern Nigeria
west africa : protectorate of northern nigeria†,Nigéria du Nord,Northern Nigeria
west africa : protectorate of northern nigeria‡,Nigéria du Nord,Northern Nigeria
west africa : sierra leone,Sierra Leone,Sierra Leone
west africa : the colony and protectorate of southern nigeria†,Nigéria du Sud,Southern Nigeria
west africa : the colony and protectorate of southern nigeria‡,Nigéria du Sud,Southern Nigeria
west africa : the gold coast,Côte de l'Or,Ghana (Gold Coast)
west africa portugal,Afrique occidentale portugaise,Portuguese West Africa
west africa settlement (gambia and sierra leone),Gambie et Sierra Leone,Gambia & Sierra Leone
west africa settlements,Gambie et Sierra Leone,Gambia & Sierra Leone
west africa settlements (gambia and sierra leone),Gambie et Sierra Leone,Gambia & Sierra Leone
west british africa,Afrique occidentale britannique,British West Africa
west coast of africa,Afrique occidentale,West Africa
west india,Antilles,Antilles
west indian islands,Antilles,Antilles
west indies,Antilles (Autre),Antilles (other)
west indies (total),Antilles,Antilles
west indies : danish,Antilles danoises,Virgin Islands (Danish West Indies)
west indies : other,Antilles (Autre),Antilles (other)
west indies britan.,Antilles britanniques,British West Indies
west indies generally,Antilles (Autre),Antilles (other)
weste africa (not particularly designated),Afrique occidentale,West Africa
western australasia,Australie occidentale,Western Australia
western australia,Australie occidentale,Western Australia
western australia (australia),Australie occidentale,Western Australia
"western coast of  africa (exclusive of british, french, portuguese, and spanish possessions, separately shown)",Afrique occidentale (Autre que britannique et française et portugaise et espagnole),West Africa (other)
western coast of  africa (not particularly designated),Afrique occidentale,West Africa
western coast of africa,Afrique occidentale,West Africa
"western coast of africa (exclusive of british, french and spanish possessions, separately shown)",Afrique occidentale (Autre que britannique et française et espagnole),West Africa (other)
western coast of africa (not particularly designated),Afrique occidentale,West Africa
western coast of africa (not paticularly designated),Afrique occidentale,West Africa
western coast of africa : gambia,Gambie,Gambia
western coast of africa : lagos,Lagos,Lagos
western coast of africa : niger protectorate,Protectorat du Niger,Niger
western coast of africa : sierra leone,Sierra Leone,Sierra Leone
western coast of africa : the gold coast,Côte de l'Or,Ghana (Gold Coast)
western samoa,Samoa occidentales,Western Samoa
whale fisheries,***NA,***NA
windward coast of africa,Windward Coast of Africa,Windward Coast of Africa
windward islands (british west indies),Iles du Vent,Windward Is.
winward coast of africa,Windward Coast of Africa,Windward Coast of Africa
world,Monde,World
yougoslavie,Yougoslavie,Yugoslavia/Serbia
yugoslavia/serbia,Serbie,Yugoslavia/Serbia
zaire,Congo belge,Zaire (Kinshasa) (Belgian Congo)
zaire (kinshasa) (belgian congo),Congo belge,Zaire (Kinshasa) (Belgian Congo)
zambia (northern rhodesia),Rhodésie du Nord,Zambia (Northern Rhodesia)
zambie,Rhodésie du Nord,Zambia (Northern Rhodesia)
zanzibar,Zanzibar,Zanzibar
zanzibar and pemba,Zanzibar et Pemba,Pemba Island & Zanzibar
zanzibar and pemba (east africa),Zanzibar et Pemba,Pemba Island & Zanzibar
zanzibar and pemba (eastern coast of  africa),Zanzibar et Pemba,Pemba Island & Zanzibar
zanzibar protectorate,Zanzibar,Zanzibar
zanzibar. (isla),Zanzibar,Zanzibar
zeyla,Zeilah,Zeila
zimbabwe (rhodesia) (southern rhodesia),Rhodésie,Zimbabwe (Rhodesia) (Southern Rhodesia)
zollauschluss helgoland,Heligoland,Heligoland
zollverein,Zollverein,Germany (Zollverein)
zollverein total,Zollverein,Germany (Zollverein)
"zollverein,hambourg",Zollverein et Hambourg,Hamburg & Germany (Zollverein)
zollvzerein,Zollverein,Germany (Zollverein)
zone du canal,Canal de Panama,Panama Canal Zone
zone franche (pays de gex et haute-savoie),Pays de Gex et Savoie,Pays de Gex & Savoy
zone franche (pays de gex et savoie neutralisée),Pays de Gex et Savoie,Pays de Gex & Savoy
haïti,Haïti,Haiti
españa,Espagne,Spain
nederland,Pays-Bas,Netherlands
province d'ontario,Province d'Ontario,Ontario (Upper Canada)
province de manitoba,Province de Manitoba,Manitoba
province de québec,Province de Québec,Quebec (Lower Canada)
province de la colombie britannique,Province de la Colombie Britannique,British Columbia
province de la nouvelle-ecosse,Province de la Nouvelle-Ecosse,Nova Scotia
province du nouveau-brunswick,Province du Nouveau-Brunswick,New Brunswick
province of canada,Province du Canada,Canada
province of quebec,Province de Québec,Quebec (Lower Canada)
regno d'italia,Italie,Italy
togo et cameroun,togo et cameroun,Kamerun & Togo (French Togoland)
a la orden,A la Orden,***NA
abessinië,Abessinië,Ethiopia (Abyssinia)
aden e stabilimenti dello stretto,Aden e Stabilimenti dello Stretto,Aden & Straits Settlements
"aden, perim, etc.","Aden, Perim, etc.",Aden & Perim I.
"aden, enz.","Aden, enz.",Aden & other
africa - possessoes belgas,Africa - Possessoes Belgas,Belgian Africa
africa - possessoes britannicas,Africa - Possessoes Britannicas,British Africa
africa - possessoes francezas,Africa - Possessoes Francezas,French Africa
africa - possessoes hespanholas,Africa - Possessoes Hespanholas,Spanish Africa
africa - possessoes italianas,Africa - Possessoes Italianas,Italian Africa
africa - possessoes portuguezas,Africa - Possessoes Portuguezas,Portuguese Africa
africa austral,Africa Austral,Southern Africa
africa eq. occ. britannica,Africa Eq. Occ. Britannica,British Equatorial West Africa
africa eq. occ. francese,Africa Eq. Occ. Francese,French Equatorial West Africa
africa eq. occ. portoghese,Africa Eq. Occ. Portoghese,Portuguese Equatorial West Africa
africa eq. occ. spagnola,Africa Eq. Occ. Spagnola,Spanish Equatorial West Africa
africa eq. or. britannica,Africa Eq. Or. Britannica,British Equatorial East Africa
africa merid. britannica,Africa Merid. Britannica,British South Africa
africa merid. francese,Africa Merid. Francese,French South Africa
africa merid. portoghese,Africa Merid. Portoghese,Portuguese South Africa
africa diversas origens,Africa diversas origens,Africa (other)
africa portughese,Portuguese Africa,Portuguese Africa
africa spagnola,Spanish Africa,Spanish Africa
africa tedesca,Africa tedesca,German Africa
africa-diversas possessoes britannicas,Africa-Diversas Possessoes Britannicas,British Africa
africa-diversas possessoes francezas,Africa-Diversas Possessoes Francezas,French Africa
africa-diversas possessoes hespanholas,Africa-Diversas Possessoes Hespanholas,Spanish Africa
africa-diversas possessoes portuguezas,Africa-Diversas Possessoes Portuguezas,Portuguese Africa
afrika (oostkust),Afrika (Oostkust),East Africa
afrika (westkust),Afrika (Westkust),West Africa
afrique allemande,Afrique allemande,German Africa
afrique anglaise,Afrique anglaise,British Africa
afrique anglaise est,Afrique anglaise est,British East Africa
afrique anglaise ouest,Afrique anglaise ouest,British West Africa
afrique anglaise sud,Afrique anglaise sud,British South Africa
afrique espagnole,Spanish Africa,Spanish Africa
afrique française,Afrique française,French Africa
afrique portugaise,Portuguese Africa,Portuguese Africa
afrique équatoriale et afrique occidentale françaises,Afrique équatoriale et Afrique occidentale françaises,French Equatorial Africa & French West Africa
albania,Albania,Albania
albanië,Albania,Albania
algeria and tunis,Algeria & Tunisia,Algeria & Tunisia
algeria and tunisia,Algeria & Tunisia,Algeria & Tunisia
algerië,Algerië,Algeria
"algiers, tunis",Algiers & Tunis,Algeria & Tunisia
"algiers, tunis, enz.",Algiers & Tunis,Algeria & Tunisia
all countries,All countries,World
allemagne & sarre,Allemagne & Sarre,Germany & Saar
allemagne et pologne - par terre,Allemagne et Pologne - par terre,Germany & Poland
allemanha,Allemanha,Germany
altre antille,Altre Antille,Antilles (other)
altre contrade (africa),Altre contrade (Africa),Africa (other)
altre contrade (america),Altre contrade (America),America (other)
altre contrade (asia),Altre contrade (Asia),Asia (other)
altre contrade (oceania),Altre contrade (Oceania),Oceania (other)
altre contrade dell'america merid.,Altre contrade dell'America Merid.,Southern America (other)
altri paesi am. nord,Altri Paesi Am. Nord,Northern America (other)
altri paesi eq. occ. afr.,Altri Paesi Eq. Occ. Afr.,Equatorial West Africa (other)
altri paesi eq. or. afr.,Altri Paesi Eq. Or. Afr.,Equatorial East Africa (other)
altri paesi occ. d'asia,Altri Paesi Occ. D'Asia,West Asia (other)
altri paesi cont. am. c.,Altri Paesi cont. Am. C.,Central America (Continental) (other)
altri paesi d'europa,Altri Paesi d'Europa,Europe (other)
altri paesi non occ. d'asia,Altri Paesi non Occ. D'Asia,East Asia (other)
altri possedimenti inglesi in asia,Altri Possedimenti Inglesi in Asia,British Asia (other)
altri stati dell'america centrale,Altri Stati dell'America Centrale,Central America (other)
altri paesi am. sud,Altri paesi Am. Sud,Southern America (other)
altri paesi d'oceania,Altri paesi d'Oceania,Oceania (other)
altri paesi insul. am. c.,Altri paesi insul. Am. C.,Central America (Insular) (other)
america - possessoes americanas,America - Possessoes Americanas,American America
america - possessoes britannicas,America - Possessoes Britannicas,British America
america - possessoes francezas,America - Possessoes Francezas,French America
america centrale,America centrale,Central America
"america, stati uniti e canada","America, Stati Uniti e Canada",Canada & United States of America
america-diversas possessoes britannicas,America-Diversas Possessoes Britannicas,British America
american samoa,American Samoa,American Samoa
american virgin islands,American Virgin Islands,Virgin Islands (Danish West Indies)
american west indies,American West Indies,Puerto Rico & Virgin Islands (Danish West Indies)
"amiranten, mauritius en seychellen","Amiranten, Mauritius en Seychellen",Mauritius & Seychelles
angleterre (non compris ses possessions dans la méditerranée),Angleterre (non compris ses possessions dans la Méditerranée),United Kingdom
angleterre en vertu de licences,Angleterre en vertu de licences,
angleterre et ses colonies,Angleterre et ses colonies,United Kingdom & British Colonies
angleterre et ses colonies de l'inde,Angleterre et ses colonies de l'Inde,United Kingdom & India
angleterre par bâtiments licenciés ou autre autorisation spéciale,Angleterre par bâtiments licenciés ou autre autorisation spéciale,
"angleterre, ecosse et irlande","Angleterre, Ecosse et Irlande",United Kingdom
"angola, enz.","Angola, enz.",Angola
angola; port. kongo,Angola; Port. Kongo,Angola & Kabinda (Portuguese Congo)
antarctic regions,Antarctic regions,Antarctic
antarctica,Antarctica,Antarctic
antilhas hollandesas,Antillas Holandesas,Netherlands Antilles
antillas,Antillas,Antilles
antillas holandesas,Antillas Holandesas,Netherlands Antilles
antillas británicas,Antillas británicas,British Antilles
antillas francesas,Antillas francesas,French Antilles
antillas inglesas,Antillas inglesas,British Antilles
antille francesi,Antille Francesi,French Antilles
antille britanniche,Antille britanniche,British Antilles
antillen,Antillen,Antilles
antilles allemandes,Antilles allemandes,German Antilles
antilles allemandes occidentales,Antilles allemandes occidentales,German Antilles
antilles anglaises occidentales,Antilles anglaises occidentales,British Antilles (West)
antilles des etats-unis d'amérique,Antilles des Etats-Unis d'Amérique,Virgin Islands (Danish West Indies)
antilles espagnoles occidentales,Antilles espagnoles occidentales,Spanish Antilles (West)
antilles françaises occidentales,Antilles françaises occidentales,French Antilles (West)
antilles orientales,Antilles orientales,Antilles (East)
antilles étrangères occidentales,Antilles étrangères occidentales,Antilles (West)
arabia and aden,Arabia and Aden,Aden & Arabia
arabië,Arabië,Arabia
arabië en azië,Arabië en Azië,Arabia (Asia)
"arabië, enz.","Arabië, enz.",Arabia
arctic region,Arctic,Arctic
arctic regions,Arctic,Arctic
argentine republic and atlantic coast of patagonia,Argentine Republic and Atlantic Coast of Patagonia,Argentina & Patagonia (Atlantic Coast)
argentinië,Argentinië,Argentina
armenia,Armenia,Armenia
armenia and kurdistan,Armenia and Kurdistan,Armenia & Kurdistan
ashmore island,Ashmore Island,Ashmore and Cartier Is
asia - possessoes britannicas,Asia - Possessoes Britannicas,British Asia
asia - possessoes francezas,Asia - Possessoes Francezas,French Asia
asia - possessoes portuguezas,Asia - Possessoes Portuguezas,Portuguese Asia
asia-diversas possessoes britannicas,Asia-Diversas Possessoes Britannicas,British Asia
asian russia,Asian Russia,Asian Russia
asian turkey,Asian Turkey,Asian Turkey
australasie anglaise,Australasie anglaise,Australia
australia and tasmania and new zealand,Australia and Tasmania and New Zealand,Australia & New Zealand & Tasmania
