RICname,type,continent,COW_code,slug,part_of_country,wikidata,lat,lng
British Somaliland (Somaliland Republic),country,Africa,521,BritishSomalilandSomalilandRepublic,,Q662653,9.55,44.0666666667
Panama (Atlantic Coast),city/part_of,America,,,Panama,,,
British Antilles (West),colonial_area,America,,,United Kingdom,,,
Australia & Western Australia,group,Oceania,,Australia_WesternAustralia,,,-27.0,129.0
Angola & Portuguese West Africa,group,Africa,,,,,-12.35,17.35
Gilbert and Ellice Is. & Kiribati,group,Oceania,,GilbertandElliceIs._Kiribati,,,1.36333333335,173.02666666665
Milan,country,Europe,3253,,,Q490,45.4669444444,9.19
Antarctic,geographical_area,Antarctic,,Antarctic,,,,
United Arab Emirates (Trucial Oman),country,Asia,696,,,Q1852345,23.7833333333,54
Russia and Siberia (land),city/part_of,Europe,,,Russia/USSR,,,
Lucca & Monaco & Papal States,group,Europe,,Lucca_Monaco_PapalStates,,,43.16244444443333,10.1287777778
Loyalty Is.,city/part_of,Oceania,,,New Caledonia and Dependencies,,,
Prussia,country,Europe,255P,Prussia,,Q38872,52.5173,13.3889
Guadeloupe & Martinique,group,America,,Guadeloupe_Martinique,,,15.45833333335,-61.29166666665
Dardanelles-Istanbul & Turkish Ports,group,Asia,,,,,41.01,28.9602777778
Djibouti (Afar and Issas) (French Somaliland),country,Africa,522,DjiboutiAfarandIssasFrenchSomaliland,,Q977,11.8,42.433333
Madeira Isles & Portugal,group,World,,MadeiraIsles_Portugal,,,35.725,-13.09166666665
European Turkey & Crete,group,Europe,,,,,35.3097222222,24.8933333333
Java & Banjermassin (Dutch Borneo),group,Asia,,Java_BanjermassinDutchBorneo,,,-3.3333333333000006,114.5833333333
Spanish Dependencies,colonial_area,World,,,Spain,,,
Angola & Kabinda (Portuguese Congo),group,Africa,,,,,-12.35,17.35
Gold Coast-Togoland (Neutral Zone),country,Africa,4559,,,Q161062,6.272,1.187
Patras,city/part_of,Europe,,Patras,Greece,,,
Jamaica & Jamaica Dependencies,group,World,,,,,18.18,-77.4
Bulgaria & Montenegro & Romania & European Turkey & Yugoslavia/Serbia,group,Europe,,Bulgaria_Montenegro_Romania_EuropeanTurkey_YugoslaviaSerbia,,,44.0306082639655,22.772425279686203
Ionian Is. & Morea,group,Europe,,IonianIs._Morea,,,38.5,20.5
Portuguese Dependencies,colonial_area,World,,,Portugal,,,
Oman (Muscat and Oman) & United Arab Emirates (Trucial Oman) & Kuwait,group,Asia,,,,,24.81666677776667,52.199999999999996
Israel,country,Asia,666,Israel,,Q801,31,35
Congo (Brazzaville) (French Congo) (Middle Congo) & Senegal,group,Africa,,,,,6.808333500000001,0.5499987778
Indian Ocean Islands (British),colonial_area,Oceania,,,United Kingdom,,,
Sahara,geographical_area,Africa,,,,,,
West Africa Ports (other),geographical_area,Africa,,,,,,
Armenia,country,Europe,371,,,Q399,40.383333,44.95
Lüneburg,city/part_of,Europe,,,Hanover,,,
Archipel,city/part_of,Europe,,Archipel,,,,
Martinique,country,America,66,Martinique,,Q17054,14.6666666667,-61
Levant & Turkey,geographical_area,Asia,,,,,,
Red Sea Ports in Arabia,geographical_area,Asia,,,,,,
Sulu Sultanate,country,Asia,8401,SuluSultanate,,Q422065,6.0519444444,121.0019444444
Kenya (British East Africa Protectorate) & Uganda,group,Africa,,KenyaBritishEastAfricaProtectorate_Uganda,,,0.6900000000000002,35.195
Abu Dhabi,country,Asia,6961,,,Q187712,23.5237,53.876953
Lagos,country,Africa,4781,Lagos,,Q8673,6.45,3.4
Turkey & Egypt/United Arab Republic & Greece,group,World,,Turkey_EgyptUnitedArabRepublic_Greece,,,34.83333333333333,29.333333333333332
Burma (Myanmar) & India,group,Asia,,BurmaMyanmar_India,,,22.0,86.5
Cartagena (Spain),city/part_of,Europe,,CartagenaSpain,Spain,,,
St. Thomas & Prince Edward Is.,group,America,,St.Thomas_PrinceEdwardIs.,,,46.25,-63.0
Falkland Is. Dependencies,city/part_of,America,,,Falkland Is.,,,
Dutch East Africa,colonial_area,Africa,,,Netherlands,,,
India (Domestic produce),city/part_of,Asia,,,India,,,
French Oceania (other),colonial_area,Oceania,,,France,,,
Bilbao,city/part_of,Europe,,Bilbao,Spain,,,
Norway & Sweden,group,Europe,,Norway_Sweden,,,63.0,13.0
Denmark,country,Europe,390,Denmark,,Q35,56,10
Mauritius & South Africa,group,Africa,,Mauritius_SouthAfrica,,,-24.6,40.75
Africa Coast,geographical_area,Africa,,AfricaCoast,,,,
Suez Canal Zone,country,Africa,6514,SuezCanalZone,,Q899,30.705,32.3441666667
Karaikal,city/part_of,Asia,,Karaikal,French India,,,
Italian Somaliland,country,Africa,5200,ItalianSomaliland,,Q319984,2.29889,45.7989
Cyprus & Gibraltar & Malta,group,Europe,,Cyprus_Gibraltar_Malta,,,35.67369444443333,14.051546296300002
Seal Island,city/part_of,Africa,,SealIsland,Cape Colony,,,
Colombia (Gran Colombia) & Guatemala & Venezuela,group,America,,ColombiaGranColombia_Guatemala_Venezuela,,,9.166666666666666,-77.08333333333333
Free ports,,,,Freeports,,,,
Sweden,country,Europe,380,Sweden,,Q34,61,15
Obock,country,Africa,5222,,,Q844929,11.971667,43.293333
New Caledonia,city/part_of,Oceania,,,New Caledonia and Dependencies,,,
Chile & India,group,America,,Chile_India,,,-5.5,3.0000000000000004
Turkey & Middle-East,geographical_area,World,,Turkey_Middle-East,,,,
Kwangtung Territory (Leased) & Manchukuo,group,Asia,,,,,33.641666666649996,119.40833333334999
Albania,country,Europe,339,Albania,,Q222,41,20
Norway,country,Europe,385,Norway,,Q20,65,11
Bengal,city/part_of,Asia,,Bengal,India,,,
Benin (Dahomey),country,Africa,434,BeninDahomey,,Q962,8.8333333333,2.1833333333
Turks and Caicos Is.,country,America,1032,TurksandCaicosIs.,,Q18221,21.75,-71.5833333333
Adriatic Ports,geographical_area,Europe,,,,,,
Other countries & Tunisia,geographical_area,World,,Othercountries_Tunisia,,,,
Tripolitania & Tunisia,group,Africa,,Tripolitania_Tunisia,,,33.45,11.591666499999999
United States of America (Domestic produce),city/part_of,America,,,United States of America,,,
Papal States,country,Europe,327,PapalStates,,Q237,41.904,12.453
Azores (Western Isles),country,Europe,400,AzoresWesternIsles,,Q25263,38.5,-28
Balearic Islands & Spain,group,Europe,,BalearicIslands_Spain,,,40.0,-3.0000000000000004
Spanish Morocco,country,Africa,602,,,Q457242,35,-4.5
Bosaso,city/part_of,Africa,,Bosaso,Italian Somaliland,,,
Canada & Central America & South America & United States of America,geographical_area,America,,,,,,
British South Atlantic,colonial_area,Atlantic,,,United Kingdom,,,
Baltic Ports,geographical_area,Europe,,,,,,
Australia & Pacific Islands,geographical_area,Oceania,,Australia_PacificIslands,,,,
Spanish Equatorial West Africa,colonial_area,Africa,,,Spain,,,
Jamaica Dependencies,city/part_of,America,,,Jamaica,,,
Belize (British Honduras),country,America,80,BelizeBritishHonduras,,Q242,17.0666666667,-88.7
Kwangtung Territory (Leased),country,Asia,7104,KwangtungTerritoryLeased,,Q15175,23.4,113.5
Setúbal,city/part_of,Europe,,Setúbal,Portugal,,,
Holstein,country,Europe,2248,Holstein,,Q111224,54.1667,9.66667
Ashmore and Cartier Is,country,Oceania,9008,,,Q133888,-12.2583333333,123.0416666667
Xiamen,city/part_of,Asia,,Xiamen,China (People's Republic of China),,,
Antilles (other) & Spanish America,group,America,,Antillesother_SpanishAmerica,,,,
Austria-Hungary & Germany,group,Europe,,Austria-Hungary_Germany,,,49.6,13.175
Portugal,country,Europe,235,Portugal,,Q45,38.7,-9.1833333333
Liepãja,city/part_of,Europe,,Liepãja,Latvia,,,
Newfoundland & Prince Edward Is.,group,America,,Newfoundland_PrinceEdwardIs.,,,49.625,-61.50000000000001
Western Samoa,country,Oceania,990,WesternSamoa,,Q683,-14,-172
Assab,country,Africa,5331,,,Q738496,13.0077777778,42.7411111111
Danzig & Memel,group,Europe,,Danzig_Memel,,,55.03708333335,19.888055555550004
Modena,country,Europe,332,,,Q252580,44.6528,10.8976
St. Helena,country,Atlantic,4050,St.Helena,,Q34497,-15.95,-5.7166666667
Sierra Leone,country,Africa,451,SierraLeone,,Q1044,8.5,-11.916667
Eritrea & Italian Somaliland,group,Africa,,Eritrea_ItalianSomaliland,,,8.891111500000001,42.02445
Nice,city/part_of,Europe,,Nice,Kingdom of Sardinia,,,
Bihar,city/part_of,Asia,,,India,,,
Hamburg & North Germany,group,Europe,,Hamburg_NorthGermany,,,53.55,10.0
Kingdom of Etruria,city/part_of,Europe,,,Tuscany,,,
British Somaliland (Somaliland Republic) & Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland,group,Africa,,BritishSomalilandSomalilandRepublic_DjiboutiAfarandIssasFrenchSomaliland_ItalianSomaliland,,,7.8829633333333335,44.09963322223334
Colón,city/part_of,America,,Colón,Panama,,,
British Equatorial East Africa,colonial_area,Africa,,,United Kingdom,,,
Gibraltar & Spain & Spanish Colonies,group,World,,Gibraltar_Spain_SpanishColonies,,,38.068875,-4.17268055555
Oman (Muscat and Oman),country,Asia,698,,,Q842,21.5,55
Italian Africa (other),colonial_area,Africa,,,Italy,,,
Tranquebar and Serampore,country,Asia,7504,,,Q732594,11.0325,79.85305556
Ecuador,country,America,130,Ecuador,,Q736,-1,-78
East Indies (other),geographical_area,Asia,,EastIndiesother,,,,
British America (Pacific),colonial_area,America,,BritishAmericaPacific,United Kingdom,,,
Indian Coast,city/part_of,Asia,,,India,,,
Dutch Colonies,colonial_area,World,,DutchColonies,Netherlands,,,
French Asia & French India,group,Asia,,,,,11.9341,79.8306
Assam & Bengal,group,Asia,,Assam_Bengal,,,26.0,93.0
Sint Eustatius,country,America,1068,,,Q26180,17.4833333333,-62.9666666667
Russia (Baltic Sea) & Russia (North Sea),city/part_of,Europe,,,Russia/USSR,,,
Pays de Gex & Savoy,group,Europe,,PaysdeGex_Savoy,,,,
Cochin China & Tonkin,group,Asia,,,,,17.98975,108.390585
Turkey & Egypt/United Arab Republic,group,World,,Turkey_EgyptUnitedArabRepublic,,,33.0,32.5
Spanish East Indies,colonial_area,Asia,,,Spain,,,
Altona & Hamburg,group,Europe,,Altona_Hamburg,,,53.55,10.0
Iquique,city/part_of,America,,Iquique,Chile,,,
Moldavia,country,Europe,3361,Moldavia,,Q217,47.25,28.516667
Turkey & Syria,group,World,,Turkey_Syria,,,37.1083335,37.291666500000005
Colombia (Gran Colombia),country,America,100,ColombiaGranColombia,,Q739,4,-74
China (People's Republic of China) & Cochin China & Macao,group,Asia,,ChinaPeople'sRepublicofChina_CochinChina_Macao,,,24.040555555566666,109.16333333333333
Southern Africa Ports,geographical_area,Africa,,,,,,
Vera Cruz,city/part_of,America,,VeraCruz,Mexico,,,
Afghanistan & Iran (Persia),group,Asia,,,,,33.0,59.5
Reunion,country,Africa,585,Reunion,,Q17070,-21.1144444444,55.5325
Coromandel Coast Posts & Malabar Coast,group,Asia,,CoromandelCoastPosts_MalabarCoast,,,13.3666666667,80.3333333333
Kwanchowan,country,Asia,7110,Kwanchowan,,Q1506615,21.1772777778,110.4179888889
Burma (Myanmar),country,Asia,775,BurmaMyanmar,,Q836,22,96
Annam,country,Asia,8152,,,Q10828323,16.4692,107.578
Tabriz (Tauris),city/part_of,Asia,,TabrizTauris,Iran (Persia),,,
Viceroyalty of La Plata,country,America,1160,ViceroyaltyofLaPlata,,Q210551,-34.666667,-58.4
British South America & French South America,geographical_area,America,,,,,,
Dutch Colonies & Netherlands,group,World,,DutchColonies_Netherlands,,,52.3166666667,5.55
English Channel,geographical_area,Europe,,EnglishChannel,,,,
Central America & Mexico & Panama,geographical_area,America,,,,,,
Nova Scotia,country,America,1022,NovaScotia,,Q1952,45,-63
Clarke Is.,city/part_of,Oceania,,,New South Wales,,,
Nauru,country,Oceania,970,Nauru,,Q697,-0.5333333333,166.9333333333
United States of America (Atlantic Coast),city/part_of,America,,,United States of America,,,
Arctic & Greenland & North Sea,geographical_area,World,,Arctic_Greenland_NorthSea,,,,
Russia (Baltic Sea) & Russia (White Sea),group,Europe,,,,,,
French Gulf of Guinea & Senegal,group,Africa,,FrenchGulfofGuinea_Senegal,,,14.366667000000001,-14.283333
Netherlands Antilles (other),city/part_of,America,,NetherlandsAntillesother,Netherlands Antilles,,,
Danish America,colonial_area,America,,DanishAmerica,Denmark,,,
Indian Ocean Islands (other) & Java & Sumatra,geographical_area,Asia,,IndianOceanIslandsother_Java_Sumatra,,,,
Alaska,country,America,3,Alaska,,Q797,64,-150
Wandsbeck,city/part_of,Europe,,,Hamburg,,,
China (People's Republic of China) & Philippines,group,Asia,,ChinaPeople'sRepublicofChina_Philippines,,,23.5,113.0
Sardinia,city/part_of,Europe,,Sardinia,Kingdom of Sardinia,,,
French America,colonial_area,America,,FrenchAmerica,France,,,
Ecuador & Guatemala,group,America,,Ecuador_Guatemala,,,7.250000000000001,-84.125
Surprise Is.,city/part_of,Oceania,,,New Caledonia and Dependencies,,,
Cuba & La Guaira,group,America,,Cuba_LaGuaira,,,22.0,-79.5
Kedah,country,Asia,8222,Kedah,,Q188947,6.1283333333,100.3627777778
Gonaïves,city/part_of,America,,Gonaïves,Haiti,,,
Northern Africa,geographical_area,Africa,,,,,,
Papal States & Republic of St. Mark,group,Europe,,,,,43.7435,12.568
Atlantic Ocean,geographical_area,Atlantic,,AtlanticOcean,,,,
Kuddalore,city/part_of,Asia,,Kuddalore,India,,,
French Mediterranean,city/part_of,Europe,,,France,,,
Lithuania & Memel,group,Europe,,Lithuania_Memel,,,55.45375,22.571388888900003
Guinea (French Guinea) (Rivieres du Sud) & Senegal & Gambia,group,Africa,,GuineaFrenchGuineaRivieresduSud_Senegal_Gambia,,,12.458611222233335,-14.4985184074
Cuxhaven,city/part_of,Europe,,,Hamburg,,,
Saxe Coburg and Gotha,country,Europe,264,,,Q3462133,50.2581,10.9645
France (sea),city/part_of,Europe,,Francesea,France,,,
St. Lucia,country,America,56,St.Lucia,,Q760,13.883333,-61
British Columbia & Vancouver,group,America,,BritishColumbia_Vancouver,,,51.875,-123.80000000000001
Malta & United Kingdom,group,Europe,,Malta_UnitedKingdom,,,45.241666666650005,6.250000000000001
Germany & Rhine,group,Europe,,,,,51.0,10.0
Macedonia Former Yugoslav Republic of,country,Asia,343,,,Q240592,42,21.43333333
World (land and river),geographical_area,World,,Worldlandandriver,,,,
Swaziland,country,Africa,572,Swaziland,,Q1050,-26.483333,31.433333
Federated Malay States,country,Asia,821,FederatedMalayStates,,Q1400154,3.1597222222,101.7
Massawah,city/part_of,Africa,,,Eritrea,,,
Maluku Islands (Mollucas) & Sulawesi (Celebes),group,Asia,,MalukuIslandsMollucas_SulawesiCelebes,,,,
Austria-Hungary (German States and Italian possessions),city/part_of,Europe,,Austria-HungaryGermanStatesandItalianpossessions,Austria-Hungary,,,
Portugal & Portuguese Dependencies,group,World,,,,,38.7,-9.1833333333
Denmark & Norway & Russia/USSR & Sweden,group,Europe,,Denmark_Norway_RussiaUSSR_Sweden,,,61.0,40.333333333333336
British China,colonial_area,Asia,,BritishChina,United Kingdom,,,
Spanish Africa,colonial_area,Africa,,SpanishAfrica,Spain,,,
Galicia,city/part_of,Europe,,,Austria-Hungary,,,
Bremen & Hanover,group,Europe,,Bremen_Hanover,,,52.86085555555,9.164955555550002
Gibraltar & Portugal & Spain,group,Europe,,Gibraltar_Portugal_Spain,,,38.27925,-5.842898148133333
Parma,country,Europe,335,Parma,,Q2683,44.8014722222,10.328
Bulgaria & Yugoslavia/Serbia,group,Europe,,Bulgaria_YugoslaviaSerbia,,,43.785277777800005,22.9811111111
Memel,country,Europe,3363,Memel,,Q776965,55.7075,21.1427777778
British South Africa,colonial_area,Africa,,BritishSouthAfrica,United Kingdom,,,
Arabia (sea),geographical_area,Asia,,,,,,
Trinidad,city/part_of,America,,,Trinidad and Tobago,,,
Labrador,city/part_of,America,,,Quebec (Lower Canada),,,
Antilles (East),geographical_area,America,,,,,,
Denmark Ports,city/part_of,Europe,,,Denmark,,,
Table Bay,city/part_of,Africa,,TableBay,Cape Colony,,,
Russia (South Ports),city/part_of,Europe,,,Russia/USSR,,,
Ragusa,city/part_of,Europe,,,Sicily,,,
Swedish Dependencies,colonial_area,World,,,Sweden,,,
Polynesia,geographical_area,Oceania,,Polynesia,,,,
Papal States Mediterranean Ports,city/part_of,Europe,,,Papal States,,,
Kiribati,country,Oceania,946,Kiribati,,Q710,1.4666666667,173.0333333333
Pomerania,city/part_of,Europe,,Pomerania,Prussia,,,
Denmark & Holstein & Schleswig,group,Europe,,Denmark_Holstein_Schleswig,,,55.11112222223333,9.63889
Portuguese West Africa,colonial_area,Africa,,PortugueseWestAfrica,Portugal,,,
Argentina,country,America,160,Argentina,,Q414,-34,-64
Samos,country,Europe,3504,Samos,,Q156882,37.75,26.8333
Lisbon & Porto,group,Europe,,Lisbon_Porto,,,,
Berbice & Demerara,group,America,,,,,6.23369,-57.543
Chinese Treaty Ports & Hong Kong,group,Asia,,,,,22.2783333333,114.15861111110002
Australia (other) & Tasmania,group,Oceania,,Australiaother_Tasmania,,,-42.0,147.0
Sudan (Anglo-Egyptian),country,Africa,625,SudanAnglo-Egyptian,,Q541455,15.6330555556,32.5330555556
Libya (Tripolitania Cyrenaica Fezzan),country,Africa,620,LibyaTripolitaniaCyrenaicaFezzan,,Q1016,27,17
British East Africa (Other),colonial_area,Africa,,BritishEastAfricaOther,United Kingdom,,,
Belgium & Netherlands,group,Europe,,Belgium_Netherlands,,,51.4788888889,5.1090277778
Manchukuo,country,Asia,711,,,Q30623,43.8833333333,125.3166666667
Uruguay,country,America,165,Uruguay,,Q77,-32.7333333333,-56.65
Antigua and Barbuda,country,America,58,Antigua_Barbuda,,Q781,17.1166666667,-61.85
British Columbia & British East North America,group,America,,BritishColumbia_BritishEastNorthAmerica,,,54.5,-124.49999999999999
Cork,city/part_of,Europe,,Cork,Ireland,,,
New Guinea (German New Guinea) (Kaiser Wilhelmsland),country,Oceania,912,NewGuineaGermanNewGuineaKaiserWilhelmsland,,Q165008,-4.2149,152.1606
Malagasy Republic (Madagascar) Dependencies,city/part_of,Africa,,,Malagasy Republic (Madagascar),,,
Khar,city/part_of,Africa,,Khar,Somalia,,,
Baltimore,city/part_of,America,,Baltimore,United States of America,,,
Arabia (land),geographical_area,Asia,,Arabialand,,,,
France & French Dependencies,group,World,,,,,47.0,2.0
Bremen & Prussia,group,Europe,,Bremen_Prussia,,,52.93228333335,10.9901
Iran (Persia) & Middle-East & Asian Turkey,group,Asia,,IranPersia_Middle-East_AsianTurkey,,,32.0,53.0
French Africa (other),colonial_area,Africa,,FrenchAfricaother,France,,,
Thessaloniki,city/part_of,Europe,,Thessaloniki,Greece,,,
Yokohama,city/part_of,Asia,,Yokohama,Japan,,,
Guam & Philippines,group,World,,Guam_Philippines,,,12.750000000000002,133.90000000000003
Northern Africa (other),geographical_area,Africa,,,,,,
British East Indies (other),colonial_area,Asia,,BritishEastIndiesother,United Kingdom,,,
Guayaquil,city/part_of,America,,Guayaquil,Ecuador,,,
British Oceania,colonial_area,Oceania,,BritishOceania,United Kingdom,,,
St. Pierre and Miquelon,country,America,1029,St.PierreandMiquelon,,Q34617,46.825,-56.275
Hanover & Mecklenburg Schwerin & Prussia,group,Europe,,Hanover_MecklenburgSchwerin_Prussia,,,52.84019148146667,11.513793703700001
American Oceania,colonial_area,Oceania,,AmericanOceania,United States of America,,,
Bhutan,country,Asia,760,,,Q917,27.45,90.5
French India,country,Asia,751,FrenchIndia,,Q646374,11.9341,79.8306
Lesotho (Basutoland),country,Africa,570,LesothoBasutoland,,Q1013,-29.55,28.25
Ceuta & Melilla,country,Europe,,,,Q28868874,35.8943,-5.3302
Malta,country,Europe,338,Malta,,Q233,35.8833333333,14.5
Braniewo (Braunsberg),city/part_of,Europe,,,Prussia,,,
Germany,country,Europe,255,Germany,,Q183,51,10
British East Africa & Pemba Island & Zanzibar,group,Africa,,,,,-6.1333333333,39.3166666667
Greenland & Iceland,group,World,,Greenland_Iceland,,,68.5,-29.500000000000004
Portuguese America,colonial_area,America,,PortugueseAmerica,Portugal,,,
Oldenburg,country,Europe,257,Oldenburg,,Q693669,53.1438888889,8.2138888889
Beirut,city/part_of,Asia,,Beirut,Lebanon,,,
India (other),city/part_of,Asia,,Indiaother,India,,,
Java & Neighbouring Islands,group,Asia,,Java_NeighbouringIslands,,,,
Albania & Montenegro & Yugoslavia/Serbia,group,Europe,,,,,42.86240751853333,19.892963074066667
Ceuta,country,Africa,6062,Ceuta,,Q5823,35.886667,-5.3
Hanse Towns,country,Europe,255H,,,Q42908,53.869,10.223
Azores (Western Isles) & Madeira Isles,group,World,,AzoresWesternIsles_MadeiraIsles,,,35.625,-22.5
St. Croix,city/part_of,America,,St.Croix,Virgin Islands (Danish West Indies),,,
Aden,country,Asia,681,Aden,,Q131694,12.8,45.0333333333
French China Leased Territory,colonial_area,Asia,,,France,,,
Bahamas & British West Indies,group,America,,,,,23.7,-76.4
Cadix,city/part_of,Europe,,Cadix,Spain,,,
Russian Colonies,colonial_area,World,,,Russia/USSR,,,
Danzig & Poland,group,Europe,,Danzig_Poland,,,53.18333333335001,18.81666666665
Sulawesi (Celebes),city/part_of,Asia,,SulawesiCelebes,Indonesia (Dutch East Indies),,,
West America,geographical_area,America,,WestAmerica,,,,
Lucca & Milan & Tuscany,group,Europe,,,,,44.2223148148,10.241111111133332
New York,city/part_of,America,,NewYork,United States of America,,,
American Samoa,country,Oceania,991,,,Q16641,-14.295833,-170.7075
Al Mukalla,city/part_of,Asia,,AlMukalla,Federation of South Arabia,,,
East India Company & Sri Lanka (Ceylon),group,Asia,,EastIndiaCompany_SriLankaCeylon,,,7.0,81.0
Lombardy-Venetia,city/part_of,Europe,,Lombardy-Venetia,Austria-Hungary,,,
Nagapattinam,city/part_of,Asia,,Nagapattinam,India,,,
Kniphausen,city/part_of,Europe,,,Oldenburg,,,
Germany (other),city/part_of,Europe,,Germanyother,Germany (Zollverein),,,
Swedish Colonies,colonial_area,World,,,Sweden,,,
Kamerun & German Togoland,group,Africa,,,,,5.154450000000001,5.4364
Africa & Cape Colony,geographical_area,Africa,,Africa_CapeColony,,,,
South Sea Islands & Pacific Islands,geographical_area,Pacific,,SouthSeaIslands_PacificIslands,,,,
British Cameroons & Northern Nigeria,group,Africa,,,,,6.983333500000001,7.691666499999999
Demerara,city/part_of,America,,,Demerara and Essequibo,,,
French America & French India,group,World,,,,,11.9341,79.8306
Algeria,country,Africa,615,Algeria,,Q262,28,1
Equatorial West Africa (other),geographical_area,Africa,,,,,,
British Settlement in Oceania,colonial_area,Oceania,,,United Kingdom,,,
Other countries,geographical_area,World,,Othercountries,,,,
British China Leased Territory,colonial_area,Asia,,,United Kingdom,,,
European Ports,geographical_area,Europe,,,,,,
Montenegro & Yugoslavia/Serbia,group,Europe,,Montenegro_YugoslaviaSerbia,,,43.7936112778,19.8394446111
United Kingdom & India,group,World,,,,,38.3,37.5
Ras al Khaimah,country,Asia,6967,,,Q170024,25.7833333333,55.95
Italian Austria,colonial_area,Europe,,ItalianAustria,Italy,,,
Imperia (Porto Maurizio),city/part_of,Europe,,ImperiaPortoMaurizio,Kingdom of Sardinia,,,
Cartagena (Colombia),city/part_of,America,,CartagenaColombia,Colombia (Gran Colombia),,,
Phuket Province,city/part_of,Asia,,,Thailand (Siam),,,
Panama,country,America,95,Panama,,Q804,8.616667,-80.366667
Belize (British Honduras) & British West Indies & Guyana (Br. Guiana),group,America,,,,,11.399999833350002,-74.0083335
Bremen & Hamburg & Lübeck,group,Europe,,Bremen_Hamburg_Lubeck,,,53.5889962963,9.759229629633333
United Kingdom (other),city/part_of,Europe,,UnitedKingdomother,United Kingdom,,,
Perlis,country,Asia,8224,,,Q213467,6.5,100.25
Togo (French Togoland),country,Africa,461,TogoFrenchTogoland,,Q945,8.25,1.183333
Cuba & Puerto Rico,group,America,,Cuba_PuertoRico,,,20.125,-73.0
Portuguese Africa & Portuguese Asia,group,World,,PortugueseAfrica_PortugueseAsia,,,,
Banjermassin (Dutch Borneo) & Brunei & Sabah (North Borneo) & Sarawak,group,Asia,,,,,1.9252118243670449,115.12089175636835
Southern America & United States of America,geographical_area,America,,SouthernAmerica_UnitedStatesofAmerica,,,,
Alhucemas,country,Africa,6061,,,Q1184963,35.215,-3.89611111
Antilles (other) & Pacific Islands,group,World,,Antillesother_PacificIslands,,,,
United States of America (other),city/part_of,America,,UnitedStatesofAmericaother,United States of America,,,
Australia & Hawaii,group,World,,Australia_Hawaii,,,-3.344305555549999,-10.398194444449999
Caroline Is.,country,Oceania,9810,CarolineIs.,,Q822151,-9.9666666667,-150.2113888889
Alexandria & Egypt/United Arab Republic,group,Africa,,Alexandria_EgyptUnitedArabRepublic,,,27.0,29.000000000000004
Algiers & Annaba (Bône),group,Africa,,Algiers_AnnabaBône,,,,
Sharjah,country,Asia,6963,,,Q188810,25.35,55.433333
Portuguese Colonies (other),colonial_area,World,,PortugueseColoniesother,Portugal,,,
Bonaire,country,America,1066,,,Q25396,12.1833333333,-68.25
Djibouti (Afar and Issas) (French Somaliland) & Obock,group,Africa,,DjiboutiAfarandIssasFrenchSomaliland_Obock,,,11.8858335,42.863333
Bavaria & Saxony,group,Europe,,Bavaria_Saxony,,,49.9022222222,12.395
Trabzon,city/part_of,Asia,,Trabzon,Turkey,,,
British East Africa,colonial_area,Africa,,BritishEastAfrica,United Kingdom,,,
Other countries (non British),geographical_area,World,,OthercountriesnonBritish,,,,
Aleppo,country,Asia,6525,Aleppo,,Q41183,36.2,37.15
Buceo,city/part_of,America,,Buceo,Uruguay,,,
India & Sri Lanka (Ceylon),group,Asia,,India_SriLankaCeylon,,,14.500000000000002,79.0
Brunei & Sarawak,group,Asia,,Brunei_Sarawak,,,3.7190277800000002,114.17388905499999
Alaska & United States of America,group,America,,,,,51.447500000000005,-113.51833333335
St. Croix & St. John & St. Thomas,group,America,,,Virgin Islands (Danish West Indies),,,
Tonga,country,Oceania,955,Tonga,,Q678,-20.587778,-174.810278
Chile & Peru,group,America,,Chile_Peru,,,-21.200000000000003,-73.5
Spain Ports,city/part_of,Europe,,,Spain,,,
Continental Europe,geographical_area,Europe,,ContinentalEurope,,,,
Santander,city/part_of,Europe,,Santander,Spain,,,
Denmark & St. Thomas,group,World,,Denmark_St.Thomas,,,56.0,10.0
Libya (Tripolitania Cyrenaica Fezzan) & Morocco & Tunisia,group,Africa,,,,,31.0,7.0
Sikkim,country,Asia,761,,,Q1505,27.33,88.62
New Zealand,country,Oceania,920,NewZealand,,Q664,-41.2,174
Mediterranean Ports,geographical_area,Europe,,,,,,
Dutch America,colonial_area,America,,DutchAmerica,Netherlands,,,
Amur River Ports,city/part_of,Europe,,,Russia/USSR,,,
Oman (Muscat and Oman) & Zanzibar,group,World,,,,,7.683333333349999,47.15833333335
Tarsus,city/part_of,Asia,,Tarsus,Turkey,,,
Fort St. George,city/part_of,Asia,,FortSt.George,India,,,
Northern Europe,geographical_area,Europe,,NorthernEurope,,,,
France (French produce) & French Colonies (French produce),group,World,,FranceFrenchproduce_FrenchcoloniesFrenchproduce,,,,
Asia,geographical_area,Asia,,Asia,,,,
Dutch Windward Is.,country,America,1074,,,Q3277444,18.0167,-63.0333
World (other than British),geographical_area,World,,WorldotherthanBritish,,,,
British West Africa (other),colonial_area,Africa,,,United Kingdom,,,
Russia (Baltic Sea),city/part_of,Europe,,RussiaBalticSea,Russia/USSR,,,
Danish India,colonial_area,Asia,,,Denmark,,,
Gabon,country,Africa,481,Gabon,,Q1000,-0.6833305556,11.5
Java,city/part_of,Asia,,Java,Indonesia (Dutch East Indies),,,
Alexandria,city/part_of,Africa,,Alexandria,Egypt/United Arab Republic,,,
Santiago de Cuba,city/part_of,America,,SantiagodeCuba,Cuba,,,
