original_name,RICname
sardiniska riket,Kingdom of Sardinia
sardiniska riket.toscana. begge sicilierne,Kingdom of Sardinia & Tuscany & Two Sicilies
"sardinska riket, toscana, kyrko-staten och begge sicilierne",Kingdom of Sardinia & Papal States & Tuscany & Two Sicilies
sardinska riket. toscana. begge sicilierne,Kingdom of Sardinia & Tuscany & Two Sicilies
sardinska riket.toscana. begge sicilierne,Kingdom of Sardinia & Tuscany & Two Sicilies
sarre,Saar
saudi arabia,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah)
saudi arabia and yemen,Saudi Arabia (Emirate of Nejd) (Emirate of Diriyah) & Yemen Arab Republic (North Yemen) (Kingdom of Yemen)
savanilla,Sabanilla
savannah banks,Unknown
saxe,Saxony
saxe et autriche,Austria-Hungary (Austrian Empire) & Saxony
saxe et bavière (association commerciale allemande),Bavaria & Saxony
"saxe, bavière, francfort s/m",Bavaria & Frankfurt & Saxony
"saxe, bavière, francfort s/m (association commerciale allemande)",Bavaria & Frankfurt & Saxony
saxony,Saxony
scandinavia,Scandinavia
scandinavie,Scandinavia
schlesvig,Schleswig
schleswig,Schleswig
schleswig-holstein,Schleswig-Holstein
schleswig-holstein and laurenburg,Lauenburg & Schleswig-Holstein
schleswig-holstein pr. eisenbahn,World (via Schleswig-Holstein)
schweden,Sweden
schweiz,Switzerland
scotland,Scotland
sea,***NA
sealing,Seal Island
"seekabel, strandgut und andere waren",***NA
seewärts andere waren,***NA
selangor,Selangore
senegal,Senegal
sénégal,Senegal
sénégal (gorée),Goree
sénégal (marchandises françaises),Senegal (French produce)
sénégal (saint-louis),Saint-Louis (Senegal)
senegal and west coast of africa (excluding french congo),French West Africa & Senegal
sénégal et dépendances,Senegal & Senegal Dependencies
sénégal et établissement français du golfe de guinée,Assinie & Grand-Bassam & Senegal
senégal et établissements français de la côte occidentale d'afrique,French West Africa & Senegal
sénégal et etablissements français de la côte occidentale d'afrique,French West Africa & Senegal
"senegal, dakar",Dakar
"senegal, goree",Goree
"sénégal, haut-sénégal, niger",Mali (French Sudan) (Upper Senegal and Niger) & Senegal
"senegal, rufisque",Rufisque
"senegal, st louis",Saint-Louis (Senegal)
sénégal. gorée,Goree
sénégal. saint-louis,Saint-Louis (Senegal)
senegale,Senegal
senegambia,Senegal
sénégambie,Gambia & Senegal
senegambien,Senegambia
senegeal,Senegal
ser,Kingdom of Serbia
serawak,Sarawak
serb-croat-slovene state,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serb-kroat-slow,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
"serbes, croates et slovènes (royaume)","Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbia,Kingdom of Serbia
serbia (yugo-slavia),"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbia e montenegro,Kingdom of Serbia & Montenegro
"serbia, montenegro and albania",Albania & Kingdom of Serbia & Montenegro
serbia/yugoslavia,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbie,Kingdom of Serbia
serbie (yougoslavie),"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbie et croatie,Croatia & Kingdom of Serbia
serbie et montenegro,Kingdom of Serbia & Montenegro
serbie et monténégro,Kingdom of Serbia & Montenegro
"serbie, croatie, slovénie","Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbien,Kingdom of Serbia
serbo-croato-slovénie (yougoslavie),"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serbokroatoslovenska staten,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
serrana cays,Serrana Bank
serrano cays,Serrana Bank
servia,Kingdom of Serbia
servia and montenegro,Kingdom of Serbia & Montenegro
"servia, malta, gozo, and cyprus islands",Cyprus & Gozo & Kingdom of Serbia & Malta
servie,Kingdom of Serbia
servië,Kingdom of Serbia
seselu salas,Seychelles
seszele,Seychelles
settlements of the hudson's bay company,Rupert's Land
settlements of the hudson's bay company (british north america),Rupert's Land
severni britska amerika,British Northern America
seychelle,Seychelles
seychelles,Seychelles
seychelles (iles),Seychelles
seychelles and dependencies,Seychelles & Seychelles Dependencies
seychelles islands,Seychelles
seylan,Sri Lanka (Ceylon)
shang haï,Shangai
shang-haï,Shangai
shanghai,Shangai
shelburne,Shelburne
ship's stores,***NA
ships stores,***NA
ships stores and bunkers,***NA
ships' stores,***NA
ships' stores and bunkers,***NA
ships' use,***NA
shs,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
shtete tjera,World (other)
shtetet e b. te amerikes,United States of America
siam,Thailand (Siam)
siam (bangkok),Thailand (Siam)
siam (including burmah),Myanmar (Burma) & Thailand (Siam)
siam (thailand),Thailand (Siam)
siam and salang and junk ceylon,Phuket Province & Thailand (Siam)
siam and siamese states,Thailand (Siam)
"siam, indo-ch.",French Indochina & Thailand (Siam)
"siam, indo-ch., philippines, chine",French Indochina & People's Republic of China (China) & Philippines & Thailand (Siam)
"siam, pungah",Thailand (Siam)
siama,Thailand (Siam)
siamas,Thailand (Siam)
siao,Thailand (Siam)
sião,Unknown
siberia,Siberia
siberie,Siberia
siberië,Siberia
sibérie,Siberia
sibirien,Siberia
sicile,Sicily
sicile (trapana),Trapani
sicile et naples,Two Sicilies
sicilia,Sicily
sicilien,Sicily
sicilien und neapel,Two Sicilies
sicily,Sicily
siera--leone,Sierra Leone
siera-leone,Sierra Leone
sierra leona,Sierra Leone
sierra leone,Sierra Leone
sierra leone (west africa),Sierra Leone
sierra-leone,Sierra Leone
sili,Chile
sind,Sindh
singapore,Singapore
singapore and eastern straits settlements,Straits Settlements
singapore and straits settlements,Straits Settlements
singapore and straits settlements (british empire),Straits Settlements
singapore et batavia,Jakarta (Batavia) & Singapore
"singapore, straits settlements, etc.",Singapore & Straits Settlements
singapour,Singapore
"singapour (etablissements des détroits, etc.)",Straits Settlements
"singapour, malacca, birmanie anglaise",Malacca & Myanmar (Burma) & Singapore
singapur,Singapore
singapura,Singapore
singapuras/britu malajai,Singapore
sirana cays,Serrana Bank
siria,Syria
sirija,Syria
sisam,Samos
siyam,Thailand (Siam)
sırbistan,Kingdom of Serbia
sjam,Thailand (Siam)
skibsforsyning,***NA
slesvig,Schleswig
slesvig og holsten med altona,Altona & Holstein & Schleswig
slesvig-holstein,Schleswig-Holstein
slesvig-holstein. preussen,Schleswig-Holstein
"slesvig, holsten og lauenburg",Lauenburg & Schleswig-Holstein
sleswig,Schleswig
sleswig-holstein et lauenbourg,Lauenburg & Schleswig-Holstein
slevsig-holstein. preussen,Schleswig-Holstein
smuglergods,***NA
smyrna,Izmir (Smyrna)
smyrne,Izmir (Smyrna)
society islands,Society Is.
society islands (pacific islands - foreign),Society Is.
socotora,Socotra I.
socotra,Socotra I.
södra och öfriga delar af afrika,Southern Africa (other)
sokotra,Socotra I.
solomon islands,Solomon Islands (British Solomon Islands Protectorate)
solomon islands (mandate),Bougainville (Republic of the North Solomons)
solomon islands (protectorate),Solomon Islands (British Solomon Islands Protectorate)
somali brytyjskie,Somaliland Republic (British Somaliland)
somali wloskie,Italian Somaliland
"somali, italijas kol",Italian Somaliland
somalia britanica,Somaliland Republic (British Somaliland)
somalia francese,Djibouti (Afar and Issas) (French Somaliland)
somalia inglesa,Somaliland Republic (British Somaliland)
somalia italiana,Italian Somaliland
somalie,Somalia
somalie brit,Somaliland Republic (British Somaliland)
somalie britan,Somaliland Republic (British Somaliland)
somalie britannique,Somaliland Republic (British Somaliland)
somalie ital,Italian Somaliland
somalie italienne,Italian Somaliland
"somalija, brit prot",Somaliland Republic (British Somaliland)
"somalija, franc kolon",Djibouti (Afar and Issas) (French Somaliland)
somaliland,Somaliland Republic (British Somaliland)
somaliland (british and french),Djibouti (Afar and Issas) (French Somaliland) & Somaliland Republic (British Somaliland)
"somaliland (british, french and italian)",Djibouti (Afar and Issas) (French Somaliland) & Italian Somaliland & Somaliland Republic (British Somaliland)
somaliland (british),Somaliland Republic (British Somaliland)
somaliland and djibouti,Djibouti (Afar and Issas) (French Somaliland) & Somaliland Republic (British Somaliland)
somaliland british,Somaliland Republic (British Somaliland)
somaliland french,Djibouti (Afar and Issas) (French Somaliland)
somaliland protectorate,Somaliland Republic (British Somaliland)
somalilandia británica,Somaliland Republic (British Somaliland)
somalilandia italiana,Italian Somaliland
somija,Finland
somoa,Samoa
sonmeanee and meckran,Makran & Sonmiani
sonstiges afrika,Africa (other)
sonstiges amerika,America (other)
sonstiges asien,Asia (other)
sonstiges europa,Europe (other)
sonstiges nordafika,Northern Africa (other)
sonstiges nordafrkia,Northern Africa (other)
soome,Finland
soudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan angl egyptien,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan anglo-egypt,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan anglo-egyptien,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan anglo-égyptien,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan brit,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
soudan franc,Mali (French Sudan) (Upper Senegal and Niger)
soudan français,Mali (French Sudan) (Upper Senegal and Niger)
soulou ou soloo,Sulu Sultanate
soumeanee and meckran,Makran & Sonmiani
sous-le-vent (iles),Leeward Is.
south africa,South Africa
south africa - cape colony,Cape Colony (Cape of Good Hope)
south africa - cape of good hope,Cape Colony (Cape of Good Hope)
south africa - cape of good hope*,Cape Colony (Cape of Good Hope)
south africa - natal,Natal
south africa - transvaal,Transvaal (South African Republic)
south africa : basutoland†,Lesotho (Basutoland)
south africa : basutoland‡,Lesotho (Basutoland)
south africa : bechuanaland protectorate†,Botswana (Bechuanaland)
south africa : bechuanaland protectorate‡,Botswana (Bechuanaland)
south africa : capte of good hope||,Cape Colony (Cape of Good Hope)
south africa : natal,Natal
south africa : orange river colony,Orange Free State (Orange River Colony)
south africa : rhodesia,Zimbabwe (Rhodesia) (Southern Rhodesia)
south africa : swaziland†,Eswatini (Swaziland)
south africa : swaziland‡,Eswatini (Swaziland)
south africa : transvaal,Transvaal (South African Republic)
south africa and mauritius,Mauritius & South Africa
south africa and mauritius (british empire),Mauritius & South Africa
"south africa, cape of good hope",Cape Colony (Cape of Good Hope)
"south africa, including foreign possessions",South Africa
"south africa, natal",Natal
south african produce,South Africa
south african republic,South Africa
south african union,South Africa
south america,Southern America
south america (except british guiana),Southern America (other)
south america generally,Southern America (other)
"south america, other part (including central america and west indies)",Central America & Southern America & West Indies (other)
south american ports,Southern America
south american states,Southern America
"south asia,southeast asia",Southern Asia
south australasia,South Australia
south australia,South Australia
south australia (australia),South Australia
south australia and northern territory,Australian Northern Territory & South Australia
"south australia, exclusive of northern territory",South Australia
south british africa,South Africa
south china,People's Republic of China (China) (South)
south rhodesia,Zimbabwe (Rhodesia) (Southern Rhodesia)
south sea,Pacific Islands
south sea islands,Pacific Islands
south seas,Pacific Islands
south seas and pacific,Pacific Islands
south seas and pacific ocean,Pacific Islands
south shetland islands,South Shetland Is.
south west africa,Namibia (South West Africa) (German South West Africa)
south west africa protectorate,Namibia (South West Africa) (German South West Africa)
south-west africa protectorate,Namibia (South West Africa) (German South West Africa)
south-west africa territory,Namibia (South West Africa) (German South West Africa)
southern & northern rhodesia,Zambia (Northern Rhodesia) & Zimbabwe (Rhodesia) (Southern Rhodesia)
southern africa,Southern Africa
southern nigeria,Southern Nigeria (Niger Coast Protectorate)
southern nigeria protectorate,Southern Nigeria (Niger Coast Protectorate)
southern ports in africa,Southern Africa
southern ports of africa,Southern Africa
southern rhodesia,Zimbabwe (Rhodesia) (Southern Rhodesia)
southern ussr,Southern Russia
southern whale fisheries,***NA
southern whale fishery,Zimbabwe (Rhodesia) (Southern Rhodesia)
southwest africa,Namibia (South West Africa) (German South West Africa)
soviet asiatic territories,Asian Russia
soviet russia in asia,Asian Russia
soviet russia in europe,European Russia
soviet union,Russia (USSR)
soviet union (russia),Russia (USSR)
sovjet-ryssland,Russia (USSR)
sovjet-samveldet,Russia (USSR)
sovjetsambandið,Russia (USSR)
sovjetunionen,Russia (USSR)
"sovjetunionen, europeiska",European Russia
sowjet-rusland,Russia (USSR)
spaansch west-afrika,Spanish Western Africa
spaansch-marokko,Spanish Morocco
spagna,Spain
"spagna, gibilterra e portogallo",Gibraltar & Portugal & Spain
spain,Spain
spain (including canary islands),Canary Is. & Spain
spain / italy / other european countries,Spain & Italy & Europe (other)
spain and canary,Canary Is. & Spain
spain and dependencies,Spain & Spanish Colonies
spain and gibraltar,Gibraltar & Spain
spain and portugal,Portugal & Spain
spain and the balearic islands,Balearic Islands & Spain
spain and the balearie islands,Balearic Islands & Spain
spain canaries,Canary Is. & Spain
spain gibraltar,Gibraltar
spain on the atlantic,Spain (Atlantic Coast)
spain on the mediterranean,Spain (Mediterranean Coast)
"spain, canaries",Canary Is. & Spain
"spain, canary islands",Canary Is. & Spain
"spain, portugal and gibraltar",Gibraltar & Portugal & Spain
spain: canary islands,Canary Is. & Spain
span afrika,Spanish Africa
span. afrika und übrig. afrika,Spanish Africa & Africa (other)
španělske maroko,Spanish Morocco
španělsko,Spain
spania,Spain
spania og de kanariske øer,Canary Is. & Spain
spania og kanarieøene,Canary Is. & Spain
spania undt. kanariøiene,Spain
spanien,Spain
spanien (med kanariska öarna),Canary Is. & Spain
spanien (met kanarieöarna),Canary Is. & Spain
spanien m. kanariske øer,Canary Is. & Spain
spanien och canary,Canary Is. & Spain
spanien och portugal,Portugal & Spain
spanien og de kanariske øer,Canary Is. & Spain
"spanien, einschliesslich gibraltar",Gibraltar & Spain
spanija,Spain
spanijas kolon nez,Spanish Colonies (other)
spanis america,Spanish America
spanisch afrika,Spanish Africa
spanisch-west-aquatorial afrika,Equatorial Guinea (Spanish Guinea)
spanish africa,Spanish Africa
spanish america,Spanish America
spanish america (cuba...),Spanish America
"spanish america (cuba...), central america",Central America & Spanish America
spanish colonies,Spanish Colonies
spanish east indies,Spanish East Indies
spanish european ports on the atlantic,Spain (Atlantic Coast)
spanish european ports on the mediterranean,Spain (Mediterranean Coast)
spanish guinea,Equatorial Guinea (Spanish Guinea)
spanish honduras,Honduras
spanish morocco,Spanish Morocco
spanish oceania,Spanish Oceania
spanish ports,Spain
spanish ports (venezuelan),Spain
spanish ports in north africa,Spanish Northern Africa
spanish ports in north africa (spain),Spanish Northern Africa
spanish ports in northern africa,Spanish Northern Africa
spanish ports in northern africa (spain),Spanish Northern Africa
spanish ports in the north africa,Spanish Northern Africa
spanish possessions,Spanish Colonies
spanish possessions in africa,Spanish Africa
spanish possessions in africa and adjacent islands,Spanish Africa
"spanish possessions in africa, &c",Spanish Africa
spanish possessions in asia,Spanish Asia
spanish possessions in the pacific ocean,Spanish Oceania
spanish possessions in western africa (including fernando po),Spanish Western Africa
spanish possessions in western africa (including fernando po) (spain),Spanish Western Africa
spanish south american colonies,Spanish Southern America
spanish southern africa,Spanish Southern Africa
spanish west africa,Spanish Western Africa
spanish west africa (including fernando po),Spanish Western Africa
spanish west africa (including fernando po) (spain),Spanish Western Africa
spanish west india islands,Spanish West Indies
spanish west india islands (spain),Spanish West Indies
spanish west india islands† (spain),Spanish West Indies
spanish west indies,Spanish West Indies
spanish west indies : cuba,Cuba
spanish west indies : cuba (spain),Cuba
spanish west indies : porto rico (spain),Puerto Rico
spanish west indies (cuba and porto rico),Cuba & Puerto Rico
spanish west indies (cuba and porto rico) (spain),Cuba & Puerto Rico
spanish west indies (spain),Spanish West Indies
spanish western eq. africa,Equatorial Guinea (Spanish Guinea)
spanje,Spain
spánn,Spain
"spansk marokko, sp. guinea",Equatorial Guinea (Spanish Guinea) & Spanish Morocco
spanska afrika,Spanish Africa
spanska guinea,Equatorial Guinea (Spanish Guinea)
spanska marocko,Spanish Morocco
spanske kolonier og presidier,Spanish Colonies
spanyolország,Spain
specie,Species
spetsbergen,Spitsbergen
spitsbergen,Spitsbergen
"spitzbergen, bäreninsel, jan mayen u. anderwärts nicht genan. länder",World (other)
spo. státy. amer.,United States of America
spojene staty americke,United States of America
sri lanka,Sri Lanka (Ceylon)
sri lanka (ceylon),Sri Lanka (Ceylon)
sri lanka / ceylon,Sri Lanka (Ceylon)
sssr,Russia (USSR)
st croix,St. Croix
st domingo,Dominican Republic (Santo Domingo)
st kitts,St. Kitts
st kitts nevis,St. Kitts-Nevis
st kitts nevis & anguilla,Anguilla & St. Kitts-Nevis
st lucia,St. Lucia
st martin,St. Martin
st nazaire,Unknown
st piere et miquelon,St. Pierre and Miquelon
st pierre,St. Pierre and Miquelon
st pierre et miquelon,St. Pierre and Miquelon
st pierre et miquelon et grande pêche,St. Pierre and Miquelon
st pierre miquelon,St. Pierre and Miquelon
st thomas,St. Thomas
st thomas (danish),St. Thomas
st thomas and prince's islands,Prince Edward Is. & St. Thomas
st thomas et porto rico,Puerto Rico & St. Thomas
"st thomas, vi",St. Thomas
st thome un principe sala,Sao Tome-Principe
st vincent,St. Vincent
st vincenta sala,St. Vincent and the Grenadines
"st, helena",St. Helena
"st, helena and ascension islands",Ascension I. & St. Helena
st. barthelemy,St. Barthelemy
st. barthelemy (norvegian colonies),St. Barthelemy
st. bartholomew,St. Barthelemy
st. christoper (british west india islands),St. Kitts
st. christopher,St. Kitts
st. christopher (leeward islands - west india islands),St. Kitts
st. christopher & nevis,St. Kitts-Nevis
st. christophers,St. Kitts
st. croix,St. Croix
st. croix (danish),St. Croix
st. domingo,Dominican Republic (Santo Domingo)
st. domingp,Dominican Republic (Santo Domingo)
st. domingue,Dominican Republic (Santo Domingo)
st. eustatia,Sint Eustatius
st. eustatius,Sint Eustatius
st. francisco,San Francisco
st. helena,St. Helena
st. helena and ascension,Ascension I. & St. Helena
st. kitts,St. Kitts
st. kitts and nevis,St. Kitts-Nevis
st. kitts-nevis,St. Kitts-Nevis
st. lucia,St. Lucia
st. lucia (british west india islands),St. Lucia
st. lucia (winward islands - west india islands),St. Lucia
st. martin,St. Martin
st. martins,St. Martin
st. pierre,St. Pierre and Miquelon
st. pierre (france),St. Pierre and Miquelon
st. pierre and miquelon,St. Pierre and Miquelon
st. pierre and miquelon (france),St. Pierre and Miquelon
st. pierre et miquelon,St. Pierre and Miquelon
st. thomas,St. Thomas
st. thomas (w.i.),St. Thomas
st. thomas island,St. Thomas
st. thomas und portorico,Puerto Rico & St. Thomas
st. thomas w. i.,St. Thomas
"st. thomas, st. croix und portorico",Puerto Rico & St. Croix & St. Thomas
st. thome,Sao Tome
st. vicente (winward island),St. Vincent and the Grenadines
st. vincent,St. Vincent
st. vincent (british west india islands),St. Vincent and the Grenadines
st. vincent (winward islands - west india islands),St. Vincent and the Grenadines
st. vincent w. i.,St. Vincent and the Grenadines
st. vincent_preferential,St. Vincent and the Grenadines (other)
st.lucia (winward island),St. Lucia
st.pierre e michelon,St. Pierre and Miquelon
st.thomas,St. Thomas
stab. franc. dell'india,French India
stabilimenti dello stretto,Straits Settlements
stany zjednoczone,United States of America
state of north borneo,Sabah (North Borneo)
statele americel,United States of America
statele unite,United States of America
statele-unite,United States of America
states of america,States of America (other)
"states of america (staten van amerika, niet afronderluk genoemd)",States of America (other)
states of argentine confederation,Argentina (La Plata)
states of the rio de la plata,Argentina (La Plata)
stati del plata,Argentina (La Plata)
stati dell'america centrale,Central America
stati sardi,Kingdom of Sardinia
stati uniti,United States of America
stati uniti d'america,United States of America
stati uniti e canada,Canada (Province of Canada) & United States of America
stati-uniti d'america,United States of America
stato pontificio,Papal States
ste hélène,St. Helena
"ste marie de madagascar, mayotte, etc.",Mayotte & Nossi Be & St. Marie de Madagascar
steppes kirgisiennes,Kyrgyzstan
stille zuidzee,Pacific Islands
stillehavsøerne,Pacific Islands
stor-britannien och irland,United Kingdom
stor-serbien,"Yugoslavia (Kingdom of Serbs, Croats and Slovenes)"
stora britannien,United Kingdom
storbritannia og irland,United Kingdom
storbritannia og n.-irland,United Kingdom
storbritannia og nord-irland,United Kingdom
storbritannien,United Kingdom
storbritannien o. irland,United Kingdom
storbritannien och irland,United Kingdom
storbritannien och nord-irland,United Kingdom
storbritannien og irland,United Kingdom
"storbritannien,irske fristat",Ireland & United Kingdom
storbrittanien och irland,United Kingdom
straits and f.m.s.,Federated Malay States & Straits Settlements
straits settlement,Straits Settlements
straits settlements,Straits Settlements
straits settlements (british east indies),Straits Settlements
straits settlements (including malaya),Malaysia (British Malaya) & Straits Settlements
"straits settlements (singapore, etc.)",Straits Settlements
straits settlements and dependencies,Straits Settlements & Straits Settlements Dependencies
straits settlements and dependencies (including labuan),Straits Settlements & Straits Settlements Dependencies
"straits settlements and dependencies, british central africa protectorate",Malawi (Nyasaland) (British Central Africa Protectorate) & Straits Settlements & Straits Settlements Dependencies
"straits settlements and dependencies, including labuan",Straits Settlements & Straits Settlements Dependencies
straits settlements and federated malay states,Federated Malay States & Straits Settlements
straits settlements and fms,Federated Malay States & Straits Settlements
straits settlements and labuan,Labuan I. & Straits Settlements
straits settlements og britiske bes. blandt de indiske øer,Straits Settlements & Straits Settlements Dependencies
straits settlements og britiske besidd. blandt de indiske øer,Straits Settlements & Straits Settlements Dependencies
"straits settlements, british india",India & Straits Settlements
straits settlments,Straits Settlements
straits-settlements,Straits Settlements
strandgoederen,***NA
strandingsgods,***NA
středoamer. rep.,Central America
stredoamericke republiky,Central America
strefa kanalu panamskiego,Panama Canal Zone
striats settlements,Straits Settlements
suakin and port sudan,Port Sudan & Suakin
suazilandie e zululandia,Eswatini (Swaziland) & Zululand
sud africa,South Africa
sud de l'europe,Southern Europe
sud-africa,South Africa
sud-ouest africa,Namibia (South West Africa) (German South West Africa)
sud-ouest afrique,Namibia (South West Africa) (German South West Africa)
"sudafrika, n.b.b.",South Africa (other)
sudafrikanische union,South Africa
"sudamerika, n.b.b.",Southern America (other)
sudan,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudán,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan (anglo-egyptian sudan),Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan (anglo-egyptian),Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan anglo-egipcio,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudán anglo-egipcio,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan anglo-egipski,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan brytański,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudan frances,Mali (French Sudan) (Upper Senegal and Niger)
sudán francés,Mali (French Sudan) (Upper Senegal and Niger)
sudan francuski,Mali (French Sudan) (Upper Senegal and Niger)
"sudana, anglu-egiptiesu",Sudan (Anglo-Egyptian Sudan) (Mahdist State)
"sudana, francijas",Mali (French Sudan) (Upper Senegal and Niger)
sudão anglo-egipeio,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudao anglo-egypcio,Sudan (Anglo-Egyptian Sudan) (Mahdist State)
sudoeste africano inglez,British South Western Africa
sudoeste africano-inglės,British South Western Africa
sudrusland,Southern Russia
suecia,Sweden
suécia,Sweden
suecia e noruega,Norway & Sweden
suecia e norwega,Norway & Sweden
suecia i noruega,Norway & Sweden
suecia y norega,Norway & Sweden
suecia y noruega,Norway & Sweden
suecie,Sweden
suede,Sweden
suéde,Sweden
suède,Sweden
suède et danemark,Denmark & Sweden
suède et norvège,Norway & Sweden
suède et norvège*,Norway & Sweden
suède et norvège**,Norway & Sweden
"suède, allemagne, belgique, maroc, perse, autres pays",Belgium & Germany (Zollverein) & Iran (Persia) & Morocco & Sweden & World (other)
"suède, danemark",Denmark & Sweden
"suède, norvège",Norway & Sweden
"suède, norvège et danemarck",Denmark & Norway & Sweden
"suède, norvège, danemark",Denmark & Norway & Sweden
suède**,Sweden
suedia,Sweden
suedia si norvegia,Norway & Sweden
suedie,Sweden
sueica,Sweden
suez,Suez Canal Zone
suez and alexandria,Alexandria & Suez Canal Zone
suica,Switzerland
suiça,Switzerland
suíça,Switzerland
suissa,Switzerland
suisse,Switzerland
suisse (en transit par la france),Switzerland (by France)
suisse (par france et hambourg),Switzerland (by France and Hamburg)
suisse**,Switzerland
suiza,Switzerland
suma,World
suma total,World
sumatra,Sumatra
sumatra (dutch east indies),Sumatra
sumatra (holland),Sumatra
"sumatra, java",Java & Sumatra
"sumatra, java, and other islands in the indian seas",Indian Ocean Islands (other) & Java & Sumatra
summa,World
summe,World
sund,Sund
sunda is.,Sunda Islands
sundaöarna,Sunda Islands
sundaöarna och moluckerna,Maluku (Mollucas) & Sunda Islands
suomija,Finland
surinam,Surinam (Dutch Guiana)
surinam (duch guayana),Surinam (Dutch Guiana)
surinam (guiana),Surinam (Dutch Guiana)
surinam and curacao,Curacao & Surinam (Dutch Guiana)
suriname,Surinam (Dutch Guiana)
suriye,Syria
surprise island,Surprise Is.
suticorin,Thoothukudi (Tuticorin)
sv helenas salas,St. Helena
svajcarska,Switzerland
svájcz,Switzerland
svájez,Switzerland
svalbard,Svalbard Is.
svedija,Sweden
svédország,Sweden
svedska,Sweden
švédsko,Sweden
sveicarija,Switzerland
sveice,Switzerland
sveits,Switzerland
svejts,Switzerland
sverige,Sweden
sverige ellers landværts,Sweden (other)
sverige landværts,Sweden
sverige landværts ellers,Sweden (other)
sverige och norige,Norway & Sweden
sverige pr. jernbane.,Sweden
sverige søværts,Sweden
"sverige, landværts",Sweden
sverrig,Sweden
svezia,Sweden
svezia e norvegia,Norway & Sweden
"svezia, norvegia e danimarca",Denmark & Norway & Sweden
svicer,Switzerland
sviss,Switzerland
svizzera,Switzerland
svíþjóð,Sweden
švýcarsko,Switzerland
sw africa,Namibia (South West Africa) (German South West Africa)
sw africa & southern & northern rhodesia,Namibia (South West Africa) (German South West Africa) & Zambia (Northern Rhodesia) & Zimbabwe (Rhodesia) (Southern Rhodesia)
sw. helena,St. Helena
swains island,Swan Is.
swakopmund,Swakopmund
swan island,Swan Is.
swan river,Swan River
swaziland,Eswatini (Swaziland)
swe,Sweden
sweden,Sweden
sweden (and norway),Norway & Sweden
sweden & norway,Norway & Sweden
sweden and dependencies,Sweden & Swedish Colonies
sweden and norway,Norway & Sweden
swedish colonies,Swedish Colonies
swedish west indies,Swedish West Indies
swedish west indies (st. bartholomew),St. Barthelemy
swedish west indies. st. barths,St. Barthelemy
"swedish, danish, dutch, french and spanish west indies",French West Indies & Netherlands Antilles & Spanish West Indies & St. Barthelemy & Virgin Islands (Danish West Indies)
switzerland,Switzerland
syd-afrika,South Africa
syd-africa andre britiske områder,South Africa (other)
syd-afrika ellers,South Africa (other)
syd-afrika-sambandet,South Africa
syd-amerika ellers,Southern America (other)
syd-amerika undtagen brasilien,Southern America (other)
syd-rhodesia,Zimbabwe (Rhodesia) (Southern Rhodesia)
sydafrikansa unionen,South Africa
sydafrikanske union,South Africa
sydamerika,Southern America
sydamerika for øvrig,Southern America (other)
sydasien uden nærmere angivelse,Southern Asia
sydney,Sydney
sydryssland,Southern Russia
sydvestasien,South Western Asia
"sydvestasien, undr. tyrkiet",South Western Asia
syjam,Thailand (Siam)
syria,Syria
syria and lebanon,Lebanon & Syria
syria and palestine,Palestine & Syria
syria and palestine (turkey),Palestine & Syria
syrie,Syria
syrië,Syria
syríe,Syria
syrie (mandat français),Syria
syrie et liban,Lebanon & Syria
"syrie, liban",Lebanon & Syria
syrie/colonies françaises,Syria
syrien,Syria
"syrien och libanon, alouiterna, djebel druse",Jebel Druze & Latakia (Alaouites) & Lebanon & Syria
syrija,Syria
syrja,Syria
szerbia,Kingdom of Serbia
sziám,Thailand (Siam)
szpicberg,Spitsbergen
szwajcarja,Switzerland
szwecja,Sweden
tabago,Tobago
tachkent,Uzbekistan
tacna,Tacna
taganyika,Tanzania (Tanganyika)
tahiti,Tahiti
tahití,Tahiti
taiti,Tahiti
taïti (ile),Tahiti
